Source Information: 

Fies2015v2.dcf
FIES2015V2.puf

(ID Items)
 
w_regn            Region         
ttoll             Transportation (toll facilites and parking) Expenditure         
ctoll             Transportation (toll facilites and parking) In Cash         
gtoll             Transportation (toll facilites and parking) Received as Gifts         
tdrive            Transportation (driving lesson) Expenditure         
cdrive            Transportation (driving lesson) In Cash         
gdrive            Transportation (driving lesson) Received as Gifts         
totherserv        Transportation (other services) Expenditure         
cotherserv        Transportation (other services) In Cash         
gotherserv        Transportation (other services) Received as Gifts         
ttransportservice Transportation (transport services) Expenditure         
ctransportservice Transportation (transport services) In Cash         
gtransportservice Transportation (transport services) Received as Gifts         
ttransportrailway Transportation (transport services - by railway) Expenditure         
ctransportrailway Transportation (transport services - by railway) In Cash         
gtransportrailway Transportation (transport services - by railway) Received as Gifts         
ttransportroad    Transportation (transport services - by road) Expenditure         
ctransportroad    Transportation (transport services - by road) In Cash         
gtransportroad    Transportation (transport services - by road) Received as Gifts         
tjeepfare         Transportation (jeepney fare) Expenditure         
cjeepfare         Transportation (jeepney fare) In Cash         
gjeepfare         Transportation (jeepney fare) Received as Gifts         
tbusfare          Transportation (bus fare) Expenditure         
cbusfare          Transportation (bus fare) In Cash         
gbusfare          Transportation (bus fare) Received as Gifts         
ttaxifare         Transportation (taxi fare) Expenditure         
ctaxifare         Transportation (taxi fare) In Cash         
gtaxifare         Transportation (taxi fare) Received as Gifts         
ttrikefare        Transportation (tricycle fare) Expenditure         
ctrikefare        Transportation (tricycle fare) In Cash         
gtrikefare        Transportation (tricycle fare) Received as Gifts         
tpedifare         Transportation (pedicab fare) Expenditure         
cpedifare         Transportation (pedicab fare) In Cash         
gpedifare         Transportation (pedicab fare) Received as Gifts         
totherfare        Transportation (other transport payment) Expenditure         
cotherfare        Transportation (other transport payment) In Cash         
gotherfare        Transportation (other transport payment) Received as Gifts         
ttransportair     Transportation (transport services - by air) Expenditure         
ctransportair     Transportation (transport services - by air) In Cash         
gtransportair     Transportation (transport services - by air) Received as Gifts         
tdomfare          Transportation (domestic fare) Expenditure         
cdomfare          Transportation (domestic fare) In Cash         
gdomfare          Transportation (domestic fare) Received as Gifts         
tintfare          Transportation (international fare) Expenditure         
cintfare          Transportation (international fare) In Cash         
gintfare          Transportation (international fare) Received as Gifts         
ttransportsea     Transportation (transport services - by sea) Expenditure         
ctransportsea     Transportation (transport services - by sea) In Cash         
gtransportsea     Transportation (transport services - by sea) Received as Gifts         
tboatfare         Transportation (boat fare) Expenditure         
cboatfare         Transportation (boat fare) In Cash         
gboatfare         Transportation (boat fare) Received as Gifts         
tferryfare        Transportation (ferry fare) Expenditure         
cferryfare        Transportation (ferry fare) In Cash         
gferryfare        Transportation (ferry fare) Received as Gifts         
tothfare          Transportation (other fare) Expenditure         
cothfare          Transportation (other fare) In Cash         
gothfare          Transportation (other fare) Received as Gifts         
ttransportcombine Transportation (transport services - combined) Expenditure         
ctransportcombine Transportation (transport services - combined) In Cash         
gtransportcombine Transportation (transport services - combined) Received as Gifts         
ttransportother   Transportation (transport services - other) Expenditure         
ctransportother   Transportation (transport services - other) In Cash         
gtransportother   Transportation (transport services - other) Received as Gifts         
tcommunication    Communication Expenditure         
ccommunication    Communication In Cash         
gcommunication    Communication Received as Gifts         
tcommpostal       Communication (postal services) Expenditure         
ccommpostal       Communication (postal services) In Cash         
gcommpostal       Communication (postal services) Received as Gifts         
tphoneservice     Communication (telephone fax and services) Expenditure         
cphoneservice     Communication (telephone fax and services) In Cash         
gphoneservice     Communication (telephone fax and services) Received as Gifts         
tphoneinstall     Communication (telephone fax and services - installation) Expenditure         
cphoneinstall     Communication (telephone fax and services - installation) In Cash         
gphoneinstall     Communication (telephone fax and services - installation) Received as Gifts         
tinternet         Communication (telephone fax and services - internet) Expenditure         
cinternet         Communication (telephone fax and services - internet) In Cash         
ginternet         Communication (telephone fax and services - internet) Received as Gifts         
tsubscription     Communication (telephone fax and services - subscription) Expenditure         
csubscription     Communication (telephone fax and services - subscription) In Cash         
gsubscription     Communication (telephone fax and services - subscription) Received as Gifts         
tprepaid          Communication (telephone fax and services - prepaid) Expenditure         
cprepaid          Communication (telephone fax and services - prepaid) In Cash         
gprepaid          Communication (telephone fax and services - prepaid) Received as Gifts         
tphoneservother   Communication (telephone fax and services - other) Expenditure         
cphoneservother   Communication (telephone fax and services - other) In Cash         
gphoneservother   Communication (telephone fax and services - other) Received as Gifts         
trecreation       Recreation Expenditure         
crecreation       Recreation In Cash         
grecreation       Recreation Received as Gifts         
trecaudio         Recreation (audio-visual photography and information) Expenditure         
crecaudio         Recreation (audio-visual photography and information) In Cash         
grecaudio         Recreation (audio-visual photography and information) Received as Gifts         
trecrecording     Recreation (audio-visual photography and information - reception and recording)          
crecrecording     Recreation (audio-visual photography and information - reception and recording)          
grecrecording     Recreation (audio-visual photography and information - reception and recording)          
trecphoto         Recreation (audio-visual photography and information - photographic and cinemato         
crecphoto         Recreation (audio-visual photography and information - photographic and cinemato         
grecphoto         Recreation (audio-visual photography and information - photographic and cinemato         
trecprocequipt    Recreation (audio-visual photography and information - information processing eq         
crecprocequipt    Recreation (audio-visual photography and information - information processing eq         
grecprocequipt    Recreation (audio-visual photography and information - information processing eq         
trecrecmedia      Recreation (audio-visual photography and information - recording media) Expendit         
crecrecmedia      Recreation (audio-visual photography and information - recording media) In Cash         
grecrecmedia      Recreation (audio-visual photography and information - recording media) Received         
trecrepairaudio   Recreation (audio-visual photography and information - repair of audio) Expendit         
crecrepairaudio   Recreation (audio-visual photography and information - repair of audio) In Cash         
grecrepairaudio   Recreation (audio-visual photography and information - repair of audio) Received         
trecmaintenance   Recreation (other major durables for recreation - maintenance) Expenditure         
crecmaintenance   Recreation (other major durables for recreation - maintenance) In Cash         
grecmaintenance   Recreation (other major durables for recreation - maintenance) Received as Gifts         
trecotherequip    Recreation (other recreational equipment) Expenditure         
crecotherequip    Recreation (other recreational equipment) In Cash         
grecotherequip    Recreation (other recreational equipment) Received as Gifts         
trecequipgames    Recreation (other recreational equipment - games) Expenditure         
crecequipgames    Recreation (other recreational equipment - games) In Cash         
grecequipgames    Recreation (other recreational equipment - games) Received as Gifts         
trecequipsports   Recreation (other recreational equipment - sports) Expenditure         
crecequipsports   Recreation (other recreational equipment - sports) In Cash         
grecequipsports   Recreation (other recreational equipment - sports) Received as Gifts         
trecequipgarden   Recreation (other recreational equipment - gardens) Expenditure         
crecequipgarden   Recreation (other recreational equipment - gardens) In Cash         
grecequipgarden   Recreation (other recreational equipment - gardens) Received as Gifts         
trecequippets     Recreation (other recreational equipment - pets) Expenditure         
crecequippets     Recreation (other recreational equipment - pets) In Cash         
grecequippets     Recreation (other recreational equipment - pets) Received as Gifts         
treccultural      Recreation (recreational and cultural) Expenditure         
creccultural      Recreation (recreational and cultural) In Cash         
greccultural      Recreation (recreational and cultural) Received as Gifts         
treccultsports    Recreation (recreational and cultural - sporting services) Expenditure         
creccultsports    Recreation (recreational and cultural - sporting services) In Cash         
greccultsports    Recreation (recreational and cultural - sporting services) Received as Gifts         
treccultservices  Recreation (recreational and cultural - cultural services) Expenditure         
creccultservices  Recreation (recreational and cultural - cultural services) In Cash         
greccultservices  Recreation (recreational and cultural - cultural services) Received as Gifts         
trecgamechance    Recreation (recreational and cultural - game of chance) Expenditure         
crecgamechance    Recreation (recreational and cultural - game of chance) In Cash         
grecgamechance    Recreation (recreational and cultural - game of chance) Received as Gifts         
trecnewspaper     Recreation (newspaper, books nad stationery) Expenditure         
crecnewspaper     Recreation (newspaper, books nad stationery) In Cash         
grecnewspaper     Recreation (newspaper, books nad stationery) Received as Gifts         
trecbooks         Recreation (newspaper, books nad stationery - books) Expenditure         
crecbooks         Recreation (newspaper, books nad stationery - books) In Cash         
grecbooks         Recreation (newspaper, books nad stationery - books) Received as Gifts         
trecperiodical    Recreation (newspaper, books nad stationery - periodicals) Expenditure         
crecperiodical    Recreation (newspaper, books nad stationery - periodicals) In Cash         
grecperiodical    Recreation (newspaper, books nad stationery - periodicals) Received as Gifts         
trecstationery    Recreation (newspaper, books nad stationery - stationery) Expenditure         
crecstationery    Recreation (newspaper, books nad stationery - stationery) In Cash         
grecstationery    Recreation (newspaper, books nad stationery - stationery) Received as Gifts         
trecpackage       Recreation (package holiday) Expenditure         
crecpackage       Recreation (package holiday) In Cash         
grecpackage       Recreation (package holiday) Received as Gifts         
teducation        Education Expenditure         
ceducation        Education In Cash         
geducation        Education Received as Gifts         
teductuition      Education (tuition fees) Expenditure         
ceductuition      Education (tuition fees) In Cash         
geductuition      Education (tuition fees) Received as Gifts         
teducpreprimary   Education (tuition fees - preprimary) Expenditure         
ceducpreprimary   Education (tuition fees - preprimary) In Cash         
geducpreprimary   Education (tuition fees - preprimary) Received as Gifts         
teducprimary      Education (tuition fees - primary) Expenditure         
ceducprimary      Education (tuition fees - primary) In Cash         
geducprimary      Education (tuition fees - primary) Received as Gifts         
teducsecondary    Education (tuition fees - secondary) Expenditure         
ceducsecondary    Education (tuition fees - secondary) In Cash         
geducsecondary    Education (tuition fees - secondary) Received as Gifts         
teducpostsec      Education (tuition fees - post secondary) Expenditure         
ceducpostsec      Education (tuition fees - post secondary) In Cash         
geducpostsec      Education (tuition fees - post secondary) Received as Gifts         
teductertiary     Education (tuition fees - tertiary) Expenditure         
ceductertiary     Education (tuition fees - tertiary) In Cash         
geductertiary     Education (tuition fees - tertiary) Received as Gifts         
teducnotdefine    Education (education not definable by level) Expenditure         
ceducnotdefine    Education (education not definable by level) In Cash         
geducnotdefine    Education (education not definable by level) Received as Gifts         
teducallowance    Education (allowance for studying family members) Expenditure         
ceducallowance    Education (allowance for studying family members) In Cash         
geducallowance    Education (allowance for studying family members) Received as Gifts         
teducother        Education (other educational expenses) Expenditure         
ceducother        Education (other educational expenses) In Cash         
geducother        Education (other educational expenses) Received as Gifts         
tmiscellaneous    Miscellaneous Goods and Services Expenditure         
cmiscellaneous    Miscellaneous Goods and Services In Cash         
gmiscellaneous    Miscellaneous Goods and Services Received as Gifts         
tmiscpersonalcare Miscellaneous Goods and Services (personal care) Expenditure         
cmiscpersonalcare Miscellaneous Goods and Services (personal care) In Cash         
gmiscpersonalcare Miscellaneous Goods and Services (personal care) Received as Gifts         
tmiscpershair     Miscellaneous Goods and Services (personal care - hairdressing salons) Expenditu         
cmiscpershair     Miscellaneous Goods and Services (personal care - hairdressing salons) In Cash         
gmiscpershair     Miscellaneous Goods and Services (personal care - hairdressing salons) Received          
tmiscperelectric  Miscellaneous Goods and Services (personal care - electric appliance) Expenditur         
cmiscperelectric  Miscellaneous Goods and Services (personal care - electric appliance) In Cash         
gmiscperelectric  Miscellaneous Goods and Services (personal care - electric appliance) Received a         
tmiscperother     Miscellaneous Goods and Services (personal care - other appliance) Expenditure         
cmiscperother     Miscellaneous Goods and Services (personal care - other appliance) In Cash         
gmiscperother     Miscellaneous Goods and Services (personal care - other appliance) Received as G         
tmiscpereffects   Miscellaneous Goods and Services (personal effects) Expenditure         
cmiscpereffects   Miscellaneous Goods and Services (personal effects) In Cash         
gmiscpereffects   Miscellaneous Goods and Services (personal effects) Received as Gifts         
tmiscjewelry      Miscellaneous Goods and Services (personal effects - jewelry) Expenditure         
cmiscjewelry      Miscellaneous Goods and Services (personal effects - jewelry) In Cash         
gmiscjewelry      Miscellaneous Goods and Services (personal effects - jewelry) Received as Gifts         
tmiscother        Miscellaneous Goods and Services (personal effects - other) Expenditure         
cmiscother        Miscellaneous Goods and Services (personal effects - other) In Cash         
gmiscother        Miscellaneous Goods and Services (personal effects - other) Received as Gifts         
tmiscsocprot      Miscellaneous Goods and Services (social protection) Expenditure         
cmiscsocprot      Miscellaneous Goods and Services (social protection) In Cash         
gmiscsocprot      Miscellaneous Goods and Services (social protection) Received as Gifts         
tmiscinsurance    Miscellaneous Goods and Services (insurance) Expenditure         
cmiscinsurance    Miscellaneous Goods and Services (insurance) In Cash         
gmiscinsurance    Miscellaneous Goods and Services (insurance) Received as Gifts         
tmiscinslife      Miscellaneous Goods and Services (insurance - life) Expenditure         
cmiscinslife      Miscellaneous Goods and Services (insurance - life) In Cash         
gmiscinslife      Miscellaneous Goods and Services (insurance - life) Received as Gifts         
tmiscdwell        Miscellaneous Goods and Services (insurance - dwelling) Expenditure         
cmiscdwell        Miscellaneous Goods and Services (insurance - dwelling) In Cash         
gmiscdwell        Miscellaneous Goods and Services (insurance - dwelling) Received as Gifts         
tmischealth       Miscellaneous Goods and Services (insurance - health) Expenditure         
cmischealth       Miscellaneous Goods and Services (insurance - health) In Cash         
gmischealth       Miscellaneous Goods and Services (insurance - health) Received as Gifts         
tmisctransport    Miscellaneous Goods and Services (insurance - transport) Expenditure         
cmisctransport    Miscellaneous Goods and Services (insurance - transport) In Cash         
gmisctransport    Miscellaneous Goods and Services (insurance - transport) Received as Gifts         
totherinsurance   Miscellaneous Goods and Services (insurance - other) Expenditure         
cotherinsurance   Miscellaneous Goods and Services (insurance - other) In Cash         
gotherinsurance   Miscellaneous Goods and Services (insurance - other) Received as Gifts         
tmiscfinancial    Miscellaneous Goods and Services (financial services) Expenditure         
cmiscfinancial    Miscellaneous Goods and Services (financial services) In Cash         
gmiscfinancial    Miscellaneous Goods and Services (financial services) Received as Gifts         
tmiscactual       Miscellaneous Goods and Services (financial services - actual) Expenditure         
cmiscactual       Miscellaneous Goods and Services (financial services - actual) In Cash         
gmiscactual       Miscellaneous Goods and Services (financial services - actual) Received as Gifts         
tmiscfees         Miscellaneous Goods and Services (financial services - fees) Expenditure         
cmiscfees         Miscellaneous Goods and Services (financial services - fees) In Cash         
gmiscfees         Miscellaneous Goods and Services (financial services - fees) Received as Gifts         
tmiscadmin        Miscellaneous Goods and Services (financial services - administrative) Expenditu         
cmiscadmin        Miscellaneous Goods and Services (financial services - administrative) In Cash         
gmiscadmin        Miscellaneous Goods and Services (financial services - administrative) Received          
tmiscotherserve   Miscellaneous Goods and Services (other services) Expenditure         
cmiscotherserve   Miscellaneous Goods and Services (other services) In Cash         
gmiscotherserve   Miscellaneous Goods and Services (other services) Received as Gifts         
tmiscotherlegal   Miscellaneous Goods and Services (other services - legal) Expenditure         
cmiscotherlegal   Miscellaneous Goods and Services (other services - legal) In Cash         
gmiscotherlegal   Miscellaneous Goods and Services (other services - legal) Received as Gifts         
tmiscotheremploy  Miscellaneous Goods and Services (other services - employment) Expenditure         
cmiscotheremploy  Miscellaneous Goods and Services (other services - employment) In Cash         
gmiscotheremploy  Miscellaneous Goods and Services (other services - employment) Received as Gifts         
tmiscotherfuneral Miscellaneous Goods and Services (other services - funeral) Expenditure         
cmiscotherfuneral Miscellaneous Goods and Services (other services - funeral) In Cash         
gmiscotherfuneral Miscellaneous Goods and Services (other services - funeral) Received as Gifts         
tmiscorealstate   Miscellaneous Goods and Services (other services - real state) Expenditure         
cmiscorealstate   Miscellaneous Goods and Services (other services - real state) In Cash         
gmiscorealstate   Miscellaneous Goods and Services (other services - real state) Received as Gifts         
tmiscophoto       Miscellaneous Goods and Services (other services - photocopies) Expenditure         
cmiscophoto       Miscellaneous Goods and Services (other services - photocopies) In Cash         
gmiscophoto       Miscellaneous Goods and Services (other services - photocopies) Received as Gift         
tmiscoissuance    Miscellaneous Goods and Services (other services - issuance of birth, marriage a         
cmiscoissuance    Miscellaneous Goods and Services (other services - issuance of birth, marriage a         
gmiscoissuance    Miscellaneous Goods and Services (other services - issuance of birth, marriage a         
tmiscadvertisement  Miscellaneous Goods and Services (other services - advertisements) Expenditure         
cmiscadvertisement  Miscellaneous Goods and Services (other services - advertisements) In Cash         
gmiscadvertisement  Miscellaneous Goods and Services (other services - advertisements) Received as G         
tmiscgrapho       Miscellaneous Goods and Services (other services - graphologist) Expenditure         
cmiscgrapho       Miscellaneous Goods and Services (other services - graphologist) In Cash         
gmiscgrapho       Miscellaneous Goods and Services (other services - graphologist) Received as Gif         
tdurable          Durable Furniture and Equipment Expenditure         
cdurable          Durable Furniture and Equipment In Cash         
gdurable          Durable Furniture and Equipment Received as Gifts         
tfurn             Durable Furniture and Equipment (furniture) Expenditure         
cfurn             Durable Furniture and Equipment (furniture) In Cash         
gfurn             Durable Furniture and Equipment (furniture) Received as Gifts         
ttable            Durable Furniture and Equipment (dining table) Expenditure         
ctable            Durable Furniture and Equipment (dining table) In Cash         
gtable            Durable Furniture and Equipment (dining table) Received as Gifts         
tbabyfurn         Durable Furniture and Equipment (baby furniture) Expenditure         
cbabyfurn         Durable Furniture and Equipment (baby furniture) In Cash         
gbabyfurn         Durable Furniture and Equipment (baby furniture) Received as Gifts         
totherfurn        Durable Furniture and Equipment (other) Expenditure         
cotherfurn        Durable Furniture and Equipment (other) In Cash         
gotherfurn        Durable Furniture and Equipment (other) Received as Gifts         
tmajorapp         Durable Furniture and Equipment (major household appliances) Expenditure         
cmajorapp         Durable Furniture and Equipment (major household appliances) In Cash         
gmajorapp         Durable Furniture and Equipment (major household appliances) Received as Gifts         
tref              Durable Furniture and Equipment (refrigerator) Expenditure         
cref              Durable Furniture and Equipment (refrigerator) In Cash         
gref              Durable Furniture and Equipment (refrigerator) Received as Gifts         
twash             Durable Furniture and Equipment (washing machine) Expenditure         
cwash             Durable Furniture and Equipment (washing machine) In Cash         
gwash             Durable Furniture and Equipment (washing machine) Received as Gifts         
tcook             Durable Furniture and Equipment (cooking range) Expenditure         
ccook             Durable Furniture and Equipment (cooking range) In Cash         
gcook             Durable Furniture and Equipment (cooking range) Received as Gifts         
taircon           Durable Furniture and Equipment (aircon) Expenditure         
caircon           Durable Furniture and Equipment (aircon) In Cash         
gaircon           Durable Furniture and Equipment (aircon) Received as Gifts         
tothermaj         Durable Furniture and Equipment (other) Expenditure         
cothermaj         Durable Furniture and Equipment (other) In Cash         
gothermaj         Durable Furniture and Equipment (other) Received as Gifts         
tsmallapp         Durable Furniture and Equipment (total small electric household appliances) Expe         
csmallapp         Durable Furniture and Equipment (total small electric household appliances) In C         
gsmallapp         Durable Furniture and Equipment (total small electric household appliances) Rece         
tfan              Durable Furniture and Equipment (electric fan) Expenditure         
cfan              Durable Furniture and Equipment (electric fan) In Cash         
gfan              Durable Furniture and Equipment (electric fan) Received as Gifts         
tricecook         Durable Furniture and Equipment (rice cooker) Expenditure         
cricecook         Durable Furniture and Equipment (rice cooker) In Cash         
gricecook         Durable Furniture and Equipment (rice cooker) Received as Gifts         
tiron             Durable Furniture and Equipment (flat iron) Expenditure         
ciron             Durable Furniture and Equipment (flat iron) In Cash         
giron             Durable Furniture and Equipment (flat iron) Received as Gifts         
ttoaster          Durable Furniture and Equipment (toaster) Expenditure         
ctoaster          Durable Furniture and Equipment (toaster) In Cash         
gtoaster          Durable Furniture and Equipment (toaster) Received as Gifts         
tothersapp        Durable Furniture and Equipment (other) Expenditure         
cothersapp        Durable Furniture and Equipment (other) In Cash         
gothersapp        Durable Furniture and Equipment (other) Received as Gifts         
tmajtool          Durable Furniture and Equipment (major tools and equipment) Expenditure         
cmajtool          Durable Furniture and Equipment (major tools and equipment) In Cash         
gmajtool          Durable Furniture and Equipment (major tools and equipment) Received as Gifts         
ttransequipt      Durable Furniture and Equipment (transport equipment for household use)  Expendi         
ctransequipt      Durable Furniture and Equipment (transport equipment for household use)In Cash         
gtransequipt      Durable Furniture and Equipment (transport equipment for household use)Received          
tcar              Durable Furniture and Equipment (motor cars) Expenditure         
ccar              Durable Furniture and Equipment (motor cars) In Cash         
gcar              Durable Furniture and Equipment (motor cars) Received as Gifts         
tmotorcycle       Durable Furniture and Equipment (motorcycles) Expenditure         
cmotorcycle       Durable Furniture and Equipment (motorcycles) In Cash         
gmotorcycle       Durable Furniture and Equipment (motorcycles) Received as Gifts         
tbike             Durable Furniture and Equipment (bicycles and tricycles) Expenditure         
cbike             Durable Furniture and Equipment (bicycles and tricycles) In Cash         
gbike             Durable Furniture and Equipment (bicycles and tricycles) Received as Gifts         
tothertrans       Durable Furniture and Equipment (other) Expenditure         
cothertrans       Durable Furniture and Equipment (other) In Cash         
gothertrans       Durable Furniture and Equipment (other) Received as Gifts         
tmajhhequipt      Durable Furniture and Equipment (major household equipment) Expenditure         
cmajhhequipt      Durable Furniture and Equipment (major household equipment) In Cash         
gmajhhequipt      Durable Furniture and Equipment (major household equipment) Received as Gifts         
tcellphone        Durable Furniture and Equipment (cellular telephone) Expenditure         
ccellphone        Durable Furniture and Equipment (cellular telephone)cellular telephone) In Cash         
gcellphone        Durable Furniture and Equipment (cellular telephone)cellular telephone) Received         
tlandlinephone    Durable Furniture and Equipment (cellular telephone)landline) Expenditure         
clandlinephone    Durable Furniture and Equipment (cellular telephone)landline) In Cash         
glandlinephone    Durable Furniture and Equipment (cellular telephone)landline) Received as Gifts         
ttelefax          Durable Furniture and Equipment (cellular telephone)telefax machine) Expenditure         
ctelefax          Durable Furniture and Equipment (cellular telephone)telefax machine) In Cash         
gtelefax          Durable Furniture and Equipment (cellular telephone)telefax machine) Received as         
taudio            Durable Furniture and Equipment (audio-visual equipment and information processi         
caudio            Durable Furniture and Equipment (audio-visual equipment and information processi         
gaudio            Durable Furniture and Equipment (audio-visual equipment and information processi         
tradio            Durable Furniture and Equipment (radio cassette) Expenditure         
cradio            Durable Furniture and Equipment (radio cassette) In Cash         
gradio            Durable Furniture and Equipment (radio cassette) Received as Gifts         
ttelevision       Durable Furniture and Equipment (television) Expenditure         
ctelevision       Durable Furniture and Equipment (television) In Cash         
gtelevision       Durable Furniture and Equipment (television) Received as Gifts         
tvcd              Durable Furniture and Equipment (vcd) Expenditure         
cvcd              Durable Furniture and Equipment (vcd) In Cash         
gvcd              Durable Furniture and Equipment (vcd) Received as Gifts         
tvcr              Durable Furniture and Equipment (video cassette recorder) Expenditure         
cvcr              Durable Furniture and Equipment (video cassette recorder) In Cash         
gvcr              Durable Furniture and Equipment (video cassette recorder) Received as Gifts         
tsingalong        Durable Furniture and Equipment (sing-along system) Expenditure         
csingalong        Durable Furniture and Equipment (sing-along system) In Cash         
gsingalong        Durable Furniture and Equipment (sing-along system) Received as Gifts         
tcameras          Durable Furniture and Equipment (cameras) Expenditure         
ccameras          Durable Furniture and Equipment (cameras) In Cash         
gcameras          Durable Furniture and Equipment (cameras) Received as Gifts         
tpc               Durable Furniture and Equipment (desktop computers) Expenditure         
cpc               Durable Furniture and Equipment (desktop computers) In Cash         
gpc               Durable Furniture and Equipment (desktop computers) Received as Gifts         
tnotebook         Durable Furniture and Equipment (notebook or laptop) Expenditure         
cnotebook         Durable Furniture and Equipment (notebook or laptop) In Cash         
gnotebook         Durable Furniture and Equipment (notebook or laptop) Received as Gifts         
tprinters         Durable Furniture and Equipment (printers) Expenditure         
cprinters         Durable Furniture and Equipment (printers) In Cash         
gprinters         Durable Furniture and Equipment (printers) Received as Gifts         
tscanners         Durable Furniture and Equipment (scanners) Expenditure         
cscanners         Durable Furniture and Equipment (scanners) In Cash         
gscanners         Durable Furniture and Equipment (scanners) Received as Gifts         
totheraudio       Durable Furniture and Equipment (other) Expenditure         
cotheraudio       Durable Furniture and Equipment (other) In Cash         
gotheraudio       Durable Furniture and Equipment (other) Received as Gifts         
tothermajdur      Durable Furniture and Equipment (other major durables for recreation and culture         
cothermajdur      Durable Furniture and Equipment (other major durables for recreation and culture         
gothermajdur      Durable Furniture and Equipment (other major durables for recreation and culture         
toutdoorrec       Durable Furniture and Equipment (outdoor recreation) Expenditure         
coutdoorrec       Durable Furniture and Equipment (outdoor recreation) In Cash         
goutdoorrec       Durable Furniture and Equipment (outdoor recreation) as Gifts         
tindoorrec        Durable Furniture and Equipment (indoor recreation) Expenditure         
cindoorrec        Durable Furniture and Equipment (indoor recreation) In Cash         
gindoorrec        Durable Furniture and Equipment (indoor recreation) Received as Gifts         
tspecocc          Special Occasions Expenditure         
cspecocc          Special Occasions In Cash         
gspecocc          Special Occasions Received as Gifts         
tfoodspec         Special Occasions (food and refreshments) Expenditure         
cfoodspec         Special Occasions (food and refreshments) In Cash         
gfoodspec         Special Occasions (food and refreshments) Received as Gifts         
talcospec         Special Occasions (alcoholic beverages) Expenditure         
calcospec         Special Occasions (alcoholic beverages) In Cash         
galcospec         Special Occasions (alcoholic beverages) Received as Gifts         
tservicespec      Special Occasions (service) Expenditure         
cservicespec      Special Occasions (service) In Cash         
gservicespec      Special Occasions (service) Received as Gifts         
trentalspec       Special Occasions (rentals) Expenditure         
crentalspec       Special Occasions (rentals) In Cash         
grentalspec       Special Occasions (rentals) Received as Gifts         
totherspec        Special Occasions (other) Expenditure         
cotherspec        Special Occasions (other) In Cash         
gotherspec        Special Occasions (other) Received as Gifts         
tothereexp        Other Expenditure Expenditure         
cothereexp        Other Expenditure In Cash         
kothereexp        Other Expenditure In Kind         
totax             Other Expenditure (taxes) Expenditure         
cotax             Other Expenditure (taxes) In Cash         
totaxincome       Other Expenditure (taxes - income) Expenditure         
cotaxincome       Other Expenditure (taxes - income) In Cash         
totaxrealstate    Other Expenditure (taxes - real state) Expenditure         
cotaxrealstate    Other Expenditure (taxes - real state) In Cash         
totaxother        Other Expenditure (taxes - other) Expenditure         
cotaxother        Other Expenditure (taxes - other) In Cash         
togifts           Other Expenditure (gifts and contribution to others) Expenditure         
cogifts           Other Expenditure (gifts and contribution to others) In Cash         
kogifts           Other Expenditure (gifts and contribution to others) In Kind         
toassist          Other Expenditure (gifts and contribution to others - assistance) Expenditure         
coassist          Other Expenditure (gifts and contribution to others - assistance) In Cash         
koassist          Other Expenditure (gifts and contribution to others - assistance) In Kind         
toreligious       Other Expenditure (gifts and contribution to others - religious institutions) Ex         
coreligious       Other Expenditure (gifts and contribution to others - religious institutions) In         
koreligious       Other Expenditure (gifts and contribution to others - religious institutions) In         
tootherinst       Other Expenditure (gifts and contribution to others - other institutions) Expend         
cootherinst       Other Expenditure (gifts and contribution to others - other institutions) In Cas         
kootherinst       Other Expenditure (gifts and contribution to others - other institutions) In Kin         
togiftother       Other Expenditure (gifts and contribution to others - other) Expenditure         
cogiftother       Other Expenditure (gifts and contribution to others - other) In Cash         
kogiftother       Other Expenditure (gifts and contribution to others - other) In Kind         
totherlosses      Other Expenditure (other) Expenditure         
cotherlosses      Other Expenditure (other) In Cash         
kotherlosses      Other Expenditure (other) In Kind         
totherdisb        Other Disbursements Expenditure         
todisbrealprop    Other Disbursements (purchase/amortization of real property) Expenditure         
todisbcashloan    Other Disbursements (payment of cash loans) Expenditure         
todisbappliance   Other Disbursements (installments for appliances) Expenditure         
todisbtransport   Other Disbursements (installments for personal transport) Expenditure         
todisbloansoutside Other Disbursements (loans granted to persons outside the family) Expenditure         
todisbdeposits    Other Disbursements (amount depositesd in banks) Expenditure         
todisbmajrepair   Other Disbursements (major repair) Expenditure         
todisbconstruction Other Disbursements (construction of new house) Expenditure         
todisbother       Other Disbursements (other) Expenditure         
